Premise 1,Premise 2,Syllogistic relation,Conclusion,index
An unbiased manner of writing generates trust amongst the newspaper readers.,Newspaper writers are supposed to write stories in an unbiased fashion.,yes,Newspaper writers are supposed to generate trust amongst the newspaper readers.,163
Yellow crazy ants's nest releases so much formic acid into the air.,Releasing so much formic acid into the air make breating around the place is so much painful and difficult.,yes,Breathing around Yellow crazy ants's nest is so much painful and difficult.,181
technology has brought many great developments in culture.,Countries with advanced schooling and training have a better culture.,yes,technology has brought many great developments in culture.,187
Dark chocolate is rich in antioxidants.,Antioxidants are substances that may protect your cells against free radicals.,yes,Dark chocolate helps protecting your cells against free radicals.,192
It is easier to perfect your product if you have more information about what the customer want,Researching the market gives you further ideas about what the customer want,yes,It is easier to perfect your product if you research the market,210
Most women suffer from severe emotional distress after an abortion,Enormous grief and gulit could contribute to long-term depression,yes,Most women suffer from long-term depression after an abortion,213
Being alone contributes to intense feelings of loneliness. ,Individuals with Borderline Personality Disorder often are afraid of being alone.,yes,Borderline Personality Disorder often  contributes to intense No conclusionnoia,214
Rose-Breasted Grosbeak is a timid bird.,"If you want to attrack a timid bird to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",yes,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",218
The Quit India movement brought an end to the British colonial rule in India.,Mahatma Gandhi was the leader of India's non-violent independence movement.,yes,Mahatma Gandhi brought an end to the British colonial rule in India.,229
Low levels of nitric oxide are associated with lower blood pressure,Research shows that sunlight alters levels of nitric oxide in the skin and blood,yes,Research shows that sunlight is associated with lower blood pressure,231
Physical activity helps prevent excess weight gain or help maintain weight loss.,"When you engage in physical activity, you burn calories. ",yes,Burning calories helps prevent excess weight gain or help maintain weight loss.,232
Learning a new language improves your chances of getting a job.,A higher-paid job improves the quality of life.,yes,Learning a new language improves the quality of life.,236
Solving micro cracks provides reliable assessment in regard with locating micro cracks on materials.,"Image processing is the application of a set of techniques and algorithms to analyze, enhance, or optimize image characteristics.",yes,Image processing provides reliable assessment in regard with locating micro cracks on materials.,241
"You tend to be most productive, when you're happy","Working in a job that fits your personality, will make you happy",yes,"You tend to be most productive, when working in a job that fits your personality",245
Ebooks save trees from destruction.,Saving trees from destruction minimizes damage to the ecosystems.,yes,Ebooks minimize damage to the ecosystems.,256
Social media is a natural place that attracts new and highly targeted potential customers.,Reaching new and highly targeted potential customers helps to increase brand awareness.,yes,Social media is a natural place that helps to increase brand awareness.,261
All of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in a very human need.,yes,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,263
Resistance to insulin causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption drives resistance to insulin.,yes,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,269
 ozone at ground level is one of the main pollutans.,The reaction of sunlight with pollutants from vehicle emissions cause ozone at ground level.,yes,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",270
traffic fumes increase when the number of cars is at its maximum,the amount of traffic is at its max during the rush hour,yes,traffic fumes increase during the rush hour,282
I get uncomfortable when people make noises that make me uncomfortable,Joe makes annoying noises when he drinks tea,yes,I get uncomfortable when joe drinks tea,292
brussels sprouts contain a large amount of folic acid.,"folic acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",yes,"brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",293
online courses help people to become wiser. ,public universities offer online courses that most of them are free.,yes,public universities  help people to become wiser.,298
poor people don't have enough money to buy a phone.,buying a cell phone demands a lot of money.,yes,poor people don't have enough money to buy cell phone.,299
Protecting the environment has significant influences on the future of our children.," in order to protect the environment, some serious eco-friendly steps should be taken by the government. ",yes,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,307
The balance between energy entering and leaving the planet’s system is maintained by global climate change.,Global climate change can cause longer periods of drought in some regions.,yes,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,310
Daffodils need to insert sunlight in order to produce food.,"If leaves need to insert sunlight, the plant shouldn't be completely shaded by the flowers.",yes,Daffodils shouldn't be completely shaded by the flowers in order to produce food.,316
"Spraying agricultural chemicals control insects, diseases and weeds.","Controlling insects, diseases and weeds is important for growing high-yielding, quality crops and pasture.",yes,"Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture.",318
Changing ocean current can result in changes in the warmness of the water.,variations in the warmness of the water can kill fishes and ocean plant life ,yes,changing ocean current can result in killing fishes and ocean plant life.,320
Sodium together with sodium and bicarbonate maintain a sound balance between the positively charged and the negatively charged ions.,Maintaining a sound balance between the positively charged  and  negatively charged ions enables the nerve cells to send messages and the muscle cells to contract.,yes,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.,332
"Latex is a complex, sticky mixture made of a polymer called Latex.",A polymer is a long molecule made of smaller molecules joined together.,yes,"Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together.",336
Noble prize is given to those who have the greatest benefit on mankind.,"The greatest benefit on mankind comes from a works which respect and help all people no matter what race, gender or age they have.",yes,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have.",345
"When there is an arranged marriage, then there are fewer cultural conflicts.",Cultural diversity can lead to communicative quarrels in partners. ,yes,"When there is an arranged marriage, then there are fewer communicative quarrels in partners.",351
many young people started supporting the regime as use of the Internet spread throughout society.,the opponents to regime try hard to get their and other's rights.. ,yes,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.,360
High cost is not welcomed by companies.,Producing flippable USB requires significant cost.,yes,Producing flippable USB is not welcomed by companies.,366
exhausts coming out of diesel vehicles are acid rain,acid rain is extremely dangerous for our forests,yes,exhausts coming out of diesel vehicles are extremely dangerous for our forests,367
having a regular bedtime schedule can help with sleeping.,Having a good nap and sleeping help our body relaxation.  ,yes,having a regular bedtime schedule can help our body relaxation.,370
consuming too much coffee can lead to irregular sleep,not getting enough sleep increases stress levels,yes,consuming too much coffee increases stress levels,379
people with hyperopia usually have difficulty focusing on the objects around them,not being able to focus on the objects near you causes blurry vision,yes,people with hyperopia usually have blurry vision,400
"Flux retention is an excessive buildup of fluid in the circulatory system, body tissues, or cavities in the body.",Excess sodium intake also has links to fluid retention.,yes,"Excess sodium intake also has links to an excessive buildup of fluid in the circulatory system, body tissues, or cavities in the body.",402
Turism provides jobs where they're needed most.,Turism boosts our economy and enriches our businesses.,yes,Providing jobs where they're needed most  boosts our economy and enriches our businesses.,405
"Humans use an acid called Formic acid as a food preservative, since it's an antibacterial substance.",Formic acid is an irritating chemical present in the sprayed venom of some ant species and in the secretion released from some stinging nettles.,yes,"Humans use an No conclusionitating chemical present in the sprayed venom of some ant species and in the secretion released from some stinging nettles as a food preservative, since it's an antibacterial substance.",406
Enhanced sunlight penetration and increase air movement are required to maintain the quality of fruit.,Pruning fruit trees improves sunlight penetration and increase air movement through the tree.,yes,Pruning fruit trees is required to maintain the quality of fruit.,407
Vitamin D can weaken the bones and damage the kidneys and the heart.,fortified foods – such as most fat spreads and some breakfast cereals are containing a lot of vitamin D,yes,large amounts of fortified foods can weaken the bones and damage the kidneys and the heart.,413
engineers use gravitational pull as a renewable resource for tidal energy,"The moon has gravitational pull, consequently the oceans have tides. ",yes,engineers use gravitational pull as a renewable resource for tidal energy,414
Democracy weakened the family and clan structures in Athens.,Cleisthenes’ principal contributed to the creation of democracy.,yes,Cleisthenes’ principal weakened the family and clan structures in Athens.,433
Fibreboard is a material used to make furniture and floors in homes.,Mud and cow dung been suggested that the manure residue from biogas production could be used instead of sawdust to make fibreboard.,yes,Mud and cow dung been suggested that the manure residue from biogas production could be used instead of sawdust to make furniture and floors in homes.,444
Rosemary contains an ingredient that is known as Carnosic acid.,Carnosic acid possesses antioxidative and antimicrobial properties.,yes,Rosemary contains an ingredient that possesses antioxidative and antimicrobial properties. ,445
Green tea is a great source of caffeine,What caffeine does in the brain is to block an inhibitory neurotransmitter,yes,What green tea does in the brain is to block an inhibitory neurotransmitter,452
Arranged marriages can result in less friction at home.,children who experience too much friction at home are more anxious. ,yes,Arranged marriages can result in less anxious children,456
We keep our integrity as a people.,Nowruz is an ancient persian cultural tradition.,yes,Nowruz keep our integrity as a people.,458
The technician disconnected the power source.,Disconnection of energy source annihilated the risk of electrifying in the area.,yes,The technician annihilated the risk of electrifying in the area.,469
Small businesses can sometimes find it difficult to raise capital,A business requires financing to develop new products,yes,Small businesses can sometimes find it difficult to develop new products,472
people with bipolar disorder have difficulty controlling their emotions.,people who can not control their feelings tend to intense anxiety and irritability .,yes,people with bipolar disorder  tend  to intense anxiety and No conclusionitability.,475
Anxiety can contribute to a better health,Deep sleep seems to be a natural anxiety inhibitor.,yes,Deep sleep seems to contribute to a better health,477
Some earwigs release a yellow-brown liquid from smell glands in the back of earwings's abdomen.,A yellow-brown liquid from smell glands in the back of earwings's abdomen is a liquid which has unpleasant smell which is usually described as foul.,yes,Some earwigs release a liquid which has unpleasant smell which is usually described as foul.,478
The melting of candy bar helped Spencer to invent microwave oven.,A radar transmitter melted the candy bar in Spencer's pocket.,yes,A radar transmitter helped Spencer to invent microwave oven.,484
Paper is a thin material produced by pressing together the materials derived from cellulose paste,"wet strands of cellulose paste are usually derived from wood, rags or grasses",yes,"Paper is a thin material produced by pressing together the materials derived from wood, rags or grasses",494
 keratin is the old cells that are cut off from the blood supply and begin to form a hard protein.,The dead cells and keratin are what make up the hair shaft.,yes,The dead cells and the old cells that are cut off from the blood supply and begin to form a hard protein are what make up the hair shaft.,509
"Vitamin B includes veans and peas, nuts, and meat and fish.",For avoiding to be weak we must use vitamin B.,yes,"For avoiding to be weak we must use veans and peas, nuts, and meat and fish.",522
The station will be designed to manage crowds and enhance movement,Permanent or temporary barriers may be used to manage crowds and enhance movement,yes,The station will be designed to have Permanent or temporary barriers,524
The mere presence of humans and viewing animals can increase stress and have a high heart rate.,Mammals who are stressed and have a high heart rate tend to have more severe illnesses. ,yes,The mere presence of humans and viewing animals can increase severe illnesses in mamals.,526
Amir Kabir founded Dar Al-Fonoun.,Dar Al-Fonoun can be considered the first university in the modern history of Iran.,yes,Amir Kabir founded the first university in the modern history of Iran.,528
Marketing will be of use when promoting an exceptional gathering,advertising the grand opening of your business has all the qualifications of being called an exceptional gathering,yes,Marketing will be of use when promoting the grand opening of your business,537
Being cash rich enables you to grab opportunities that come your way,The successful execution of your finances is associated with being cash rich,yes,The successful execution of your finances enables you to grab opportunities that come your way,538
"Some smokers believe that cigarettes with low levels of tar, are safer.",Tar is a substance produced when tobacco leaves are burned.,yes,"Some smokers believe that cigarettes with low levels of substance produced when tobacco leaves are burned, are safer.",539
Companies have to pay employees more than they did in the past,"When job applicants are more than the available positions, unemployment increases",yes,Unemployment increases when companies have to pay employees more than they did in the past,546
The Cine?matographe revolution revolutionized the film industry.,"Lumie?re brothers gave birth to the revolutionary camera and projector, the Cine?matographe.",yes,Lumie?re brothers gave birth to film industry.,551
Higher taxes decrease the risks of inflation,certain countries try to impose strict policies on monetary issues by increasing tax,yes,certain countries try to impose strict policies on monetary issues to decrease the risks of inflation,554
Cancer doesn’t need best medicine and most expensive tools.,Health and well-being need care.,yes,Health and well-being doesn’t need best medicine and most expensive tools.,569
Living a disciplined life requires a proper expense program.,Having a proper expense program prevents people from over-spending.,yes,Living a disciplined life prevents people from over-spending.,574
Exams require extra study and concentration.,TOEFL exam is one of the highly regarded tests in the world.,yes,TOEFL exam require extra study and concentration.,584
loss of hair on the scalp and other parts of the body happens when disease attack the hair follicles.,"In alopecia areata, the body’s defenses against disease attack the hair follicles.",yes,"In alopecia areata, loss of hair on the scalp and other parts of the body happens.",585
The ideal time for workout is when the body's hormonal composition is set up to support the goal.,The body’s hormonal composition in the morning is set up to support the goal.,yes,The ideal time for workout is the mornings.,586
Air entraining agents create mini air bubbles in the concrete,"the attachement and the putting in of mini air bubbles,minimizes damage during freeze-thaw cycles, boosting durability",yes,"Air entraining agents minimize damage during freeze-thaw cycles, boosting durability in the concrete",590
Reduced CD4 cell count weaken the immune system.,HIV lowers the CD4 cell count.,yes,HIV weaken the immune system.,592
Better blood sugar control is beneficial for people at risk of diabetes,Fasting might improve blood sugar control,yes,Fasting might be beneficial for people at risk of diabetes,594
"When you cut prices, you lose much, if any, profit","When you market products with waning demand, you often have to reduce prices to clear out remaining revenue",yes,"When you market products with waning demand,you lose much, if any, profit",603
Children who have experienced divorce might suffer from sleep deprivation,Sleep deprivation can lead to higher perceptibility to sickness,yes,Children who have experienced divorce might have a higher perceptibility to sickness,606
The parents who personally understand the importance of education promote college participation.,home conditions that promote college participation can help children to enter college easier. ,yes,The parents who personally understand the importance of education can help children to enter college easier.,608
Installing windmills in the sea can easily be done,Completing projects with extra twists can turn out to be costly,yes,Installing windmills in the sea can turn out to be costly,622
"In fact, a diet that includes whole grains is associated with numerous positive outcomes.",Whole grains are things which contain gluten.,yes,"In fact, a diet that includes things which contain gluten associated with numerous positive outcomes.",624
the focus on creating livestock breeds and crossbreeds has resulted in a notable reduction in genetic variety and supplies among farm animals,a notable reduction in genetic variety and supplies among farm animals has led to to a corresponding decrease in disease resistance and local adaptations previously found among traditional breeds,yes,the focus on creating livestock breeds and crossbreeds has led to to a corresponding decrease in disease resistance and local adaptations previously found among traditional breeds,635
The changing water levels in reservoirs release greenhouse gases,green house gases are known to have a role in global warming,yes,The changing water levels in reservoirs are known to have a role in global warming,641
"When the blood in the body has to pump blood harder than usual, the person suffer from symptoms like fatigue, migraines, and eventually heart failure.","Hypertension, or high blood pressure, is when the blood in the body has to pump blood harder than usual.",yes,"Hypertension, or high blood pressure, is when the person suffer from symptoms like fatigue, migraines, and eventually heart failure.",658
Adrenaline increases heart rate.,Rise of heart rate lead to a surge in energy or shaking limbs.,yes,Adrenaline leads to a surge in energy or shaking limbs.,661
Expanding bones and muscles can have bad effects on developing bodies in long-term. , Backpacks place excessive strain on growing bones and muscles of students.,yes, backpacks can have bad  effects on developing bodies in long-term.,669
Increased acids in your mouth can break down tooth enamel,Carbs and sugar in fast food and processed food can increase acids in your mouth,yes,Carbs and sugar in fast food and processed food can break down tooth enamel,673
"Coating your hair in oil after you wash it, reduces the amount of friction caused by styling.","Reduction of the amount of friction caused by styling, making your hair less likely to snag and break make hairs softer and smoother.",yes,"Coating your hair in oil after you wash it, make hairs softer and smoother.",675
Low levels of inflammation are risk factors for heart disease.,Selenium may lower markers of inflammation in the body.,yes,Selenium may lower risk factors for heart disease.,676
"Africa and Asia are the countries where polluting fuels and technologies are used every day particulary at home for cooking, heating and lightings.",Household air pollution kills 4 milion people a year and tends to affect countries in Africa and Asia.,yes,"Household air pollution kills 4 milion people a year and tends to affect where polluting fuels and technologies are used every day particulary at home for cooking, heating and lightings.",680
New scientific investigations on waterpower led engineers to invent more efficient pump systems.,Researchers conducted new scientific investigations on waterpower between 1650 and 1800.,yes,Researchers led engineers to invent more efficient pump systems.,686
Evaporation absorbs heat energy. ,Absorbing heat energy cools down the surroundings.,yes,Evaporation cools down the surroundings.,689
Most parents want their babies to be happy more than anything else.,Parents go to great lengths to make their babies laugh.,yes,Parents go to great lengths to make their babies happy and most parents want their babies to be happy more than anything else.,698
Improved communication among different countries allows for a better understanding and a broader vision. ,internet make the communication among the countries on the rise,yes,internet allows for a better understanding and a broader vision.,699
Teachers have endless possibilities in front of them for creating teachable moments,Teachers have to use various learning techniques,yes,Teachers have endless possibilities in front of them for creating teachable moments,702
Taking a commonly prescribed dementia drug does not meet the criteria developed by the Alzheimer’s Association and nuclear medicine experts.,Her mother already has an Alzheimer’s diagnosis and is taking a commonly prescribed dementia drug.,yes,Her mother already has an Alzheimer’s diagnosis and she doesn’t meet the criteria developed by the Alzheimer’s Association and nuclear medicine experts.,703
agreeable people are the ones we look up to.,Agreeable people are full of kindness.,yes,agreeable people are the ones we look up to.,709
Cleaning the dryer's lint can prevent fires,Dryer fires cost deaths every year,yes,Every year deaths can be prevented by cleaning the dryer's lint,712
Paradox Development studio is located in Stockholm,Stockholm companies are often on the look out for skilled blokes,yes,No conclusiondox Development studio is looking for skilled blokes,713
Hush murdered Dr. Thomas Elliot.,Riddler disguised as a masked villain known as Hush.,yes,Riddler murdered Dr. Thomas Elliot,715
Burning of fossil fuels releases CO2.,Carbon dioxide makes the world warmer.,yes,Burning of fossil fuels makes the world warmer.,716
Eating too much salt can damage the arteries leading to the brain.,Damaging the arteries leading to the brain may cause a slight reduction in the amount of blood reaching the brain.,yes,Eating too much salt may cause a slight reduction in the amount of blood reaching the brain.,719
"Increased androgen secretion, oil production and inflammation play a role in acne development.","Sugary foods increased androgen secretion, oil production and inflammation.",yes,Sugary foods play a role in acne development.,734
People with better health tend to live longer,People with more social support tend to have a better overall level of health,yes,People with more social support tend to live longer,738
The engine will lose power harder under acceleration when the filter is nearly clogged up,"If the filter is nearly clogged up with debris, this will limit the amount of fuel getting through the filter",yes,The engine will lose power harder under acceleration when the amount of fuel getting through the filter is limited,739
Vladimir Lenin introduced the New Economic Policy.,The the New Economic Policy encouraged economic growth through the market-oriented.,yes,Vladimir Lenin encouraged economic growth through the market-oriented.,748
Dryness on the lips can provide an insight into lack of moisture in the body.,Overtaking low amount of water during days causes lack of moisture in the body.,yes,Dryness on the lips can provide an insight into overtaking low amount of water during days.,754
"Naval architecture is the engineering discipline dealing with the engineering design process, shipbuilding, maintenance, and operation of marine vessels and structures","Naval architecture involves basic and applied research, design, development, design evaluation and calculations during all stages of the life of a marine vehicle",yes,"the engineering discipline dealing with the engineering design process, shipbuilding, maintenance, and operation of marine vessels and structures,involves basic and applied research, design, development, design evaluation and calculations during all stages of the life of a marine vehicle",759
reading books makes people more knowledgeable., knowledgeable people help society to progress significantly.,yes,reading books help society to progress significantly.,770
Having an unbiased view leads to better decision making.,Criticizing gives us better view about the situation.,yes,Criticizing leads to better decision making.,774
Intensive farming is practiced mainly in developed countries,"Intensive farming is cultivation to maximise profit, with a low fallow ratio and a high use of inputs",yes,"cultivation to maximise profit, with a low fallow ratio and a high use of inputs is practiced mainly in developed countries",777
Contamination of concrete and FRP laminates exposes the surface of concrete to environmental damages.,Presence of moisture in the interface of concrete and FRP laminates deteriorates the bond.,yes,Presence of moisture exposes the surface of concrete to environmental damages.,779
"when you eat meat,your body becomes resistant to antibiotics","non-organic food sources, particularly livestock and feed houses, use antibiotics to feed their animals",yes,"when you eat non-organic food sources ,your body becomes resistant to antibiotics",793
"Foods containing hidden sugars increases the risk of obesity, diabetes, and heart disease",When you buy food prepared by someone else it may have contain hidden sugars,yes,"When you buy food prepared by someone else it may increases the risk of obesity, diabetes, and heart disease",799
"Wheat bran, vegetables like green beans and dark leafy greens, root vegetables like carrots, beets, and radish, fruit skins and intact whole grains.",For being in shape it is recommend that you should eat things which contain insoluble fiber.,yes,"For being in shape it is recommend that you should eat wheat bran, vegetables like green beans and dark leafy greens, root vegetables like carrots, beets, and radish, fruit skins and intact whole grains.",800
"disorders in the nervous system can bring about symptoms that include anxiety, life-threatening seizures, delirium tremens, hallucinations, shakes and possible heart failure","if alcohol consumption is stopped too abruptly, the person's nervous system suffers from uncontrolled synapse firing",yes,"if alcohol consumption is stopped too abruptly,it  can bring about symptoms that include anxiety, life-threatening seizures, delirium tremens, hallucinations, shakes and possible heart failure",804
Red hair has MC1R gene.,The risk of cancer in people who have MC1R gene is much more than others.,yes,The risk of cancer in people who have red hair is much more than others.,806
"When a massive star runs out of fuel, it drops the pressure inside it.",Dropping of pressure inside a star results in a supernova.,yes,"When a massive star runs out of fuel, it results in a supernova.",810
"Burning high levels of coal in closed areas, can lead to health complaints such as headaches.",Carbon dioxide comes from burning coal,yes,"burning high levels of coal in closed areas, can lead to health complaints such as headaches.",815
Sleep disorder changes the nature of nap and resting.,change in nature of nap and resting alters the breathing pattern.,yes,Sleep disorder alters   the breathing pattern,818
cancer is the abnormal cell growth with the potential to invade or spread to other parts of the body,"Possible signs and symptoms of cancer include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements",yes,"Possible signs and symptoms of the abnormal cell growth with the potential to invade or spread to other parts of the body include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements",822
"Jet is a compact form of lignite,that is sometimes polished and has long been used as an ornamental stone",Lignite is the dirtiest coal used as fuel for electric power generation,yes,"Jet is a compact form of ,the dirtiest coal used as fuel for electric power generation,that is sometimes polished and has long been used as an ornamental stone",852
Being connected to people alleviates social stress ,"When you laugh as a group , you feel a natural connection to them",yes,Laughing as a group alleviates social stress ,872
Carrots have significant vitamin content.,Eating carrots will benefit your body.,yes,Eating significant vitamin content will beneift your body.,877
"Facebook company foster a cohesive workforce and thereby promote staff happiness, loyalty, and productivity.","Playing music in a workplace foster a cohesive workforce and thereby promote staff happiness, loyalty, and productivity.",yes,Facebook company should plays music in a workplace.,882
the narrowing of arteries reduces the amount of oxygen-rich blood circulating to your organs.,smoking may narrows your arteries,yes,people who smoke may suffer from reducing the amount of oxygen-rich blood circulating to your organs.,883
Research shows that antioxidants help reduce oxidative stress.,Concord grape juice is rich in antioxidants.,yes,"Research shows that concord grape juice , help reduce oxidative stress.",893
Using eye masks and earplugs during the night helps patients to get sufficient sleep.,Patients recover more quickly if they get sufficient sleep.,yes,Using eye masks and earplugs during the night helps patients to recover more quickly.,906
College-educated parents are financially stable.,Financially steady people are better able to afford to send their children to post-secondary schools. ,yes,College-educated parents are better able to afford to send their children to post-secondary schools.,908
The existence of God was often considered to be absurd In early modern times.,Atheism is the world view that denies the existence of God. ,yes,Atheism is the world view that was often considered to be absurd In early modern times.,910
People who are curious usually ask lots of questions.,One of openness people's personalities is curiosity. ,yes,Openness people usually ask lots of questions.,926
The agency says people in coastal areas need to recognize signs of a posiible Tsunami.,"Signs of a posiible Tsunami is hearing a roaring or sucking noise, seeing the ocean suddenly pull back or rise, or feeling a strong earthquake that lasts more than twenty seconds.",yes,"The agency says people in coastal areas need to recognize hearing a roaring or sucking noise, seeing the ocean suddenly pull back or rise, or feeling a strong earthquake that lasts more than twenty seconds.",931
Eating too much salt may damage the arteries leading to the heart.,Damaging the arteries leading to the heart may cause a slight reduction in the amount of blood reaching the heart,yes,Eating too much salt may cause a slight reduction in the amount of blood reaching the heart.,934
Increased numbers of smaller marine animals may lead to ecological disasters.,catching of essential predators such as sharks results in increased numbers of smaller marine animals,yes,catching of essential predators such as sharks  may lead to ecological disasters.,935
Setting realistic expectations eventually saves the business owner from making costly mistakes in the long run,A business plan helps set up realistic expectations,yes,A business plan eventually saves the business owner from making costly mistakes in the long run,936
Transferring funds could be made a lot easier by having instant access to your account,Online banking provides round-the-clock access to your account,yes,Transferring funds could be made a lot easier with online banking,939
Prearranged labeling procedures limit creative opportunities to alter or make additions to the existing business model,Famous Franchise brands usually have prearranged labeling regulations,yes,Famous franchise brands usually limit creative opportunities to alter or make additions to the existing business model,941
fast food increases the possibility of heart attacks., excessive fat is the cause of a heart attack.,yes,fast food increases the possibility of heart attacks.,949
Nostalgia makes you think of how things used to be.,Thinking of how things used to be either makes you feel things were better or you feel wistful about current time with respect to the past.,yes,Nostalgia either makes you feel things were better or you feel wistful about current time with respect to the past.,959
it is possible for the local residents to maintain their traditions and culture through tourism,Tourism allows local communities to develop their own communal identity,yes,it is possible for the local residents to maintain their traditions and culture through tourism,965
People with chronic feelings of emptiness engage in all sorts of activities to try and fill their void.,Those with BPD often experience chronic feelings of emptiness.,yes,Those with BPD often experience engaging in all sorts of activities to try and fill their void.,967
the mixture of fresh water and salt water in estuaries give sea animals access to nourishment,"sea animals access to nourishment,is an important part of a local ecosystem",yes,the mixture of fresh water and salt water in estuaries is an important part of a local ecosystem,968
Consuming breakfast helps control hunger.,Controlling hunger prevents overeating the rest of the day.,yes, Consuming breakfast prevents overeating the rest of the day.,970
CO2 controls Earth's temperature.,Burning natural gas will make CO2.,yes,Burning natural gas controls Earth's temperature,973
Sophie Turner and Nick Jonas held secret weddings.,Secret weddings of celebrities preserve their private life from media attention.,yes,Sophie Turner and Nick Jonas preserved their private life from media attention.,993
Another negative effect of LDL is that it can cause you to be very fat.,"If you are at risk of being very fat it can trigger other health problems like heart attack, osteoarthritis and certain types of cancer for diagnosis heart attack.",yes,"Another negative effect of LDL is triggering other health problems like heart attack, osteoarthritis and certain types of cancer.",1006
Lemon water is a great source of laxatives,Laxatives help prevent constipation,yes,Lemon water helps prevent constipation,1010
Many tourist operators are offering tours that stand up for the protection of the local region,it is possible to provide assistance to the environment in dealing with the influx of tourists by standing up for the protection of the local region,yes,Many tourist operators are offering tours that provide assistance to the environment in dealing with the influx of tourists,1017
Assessable reactions helps you in your interpersonal relationships and daily life.,psychotherapy teaches you appropriate reactions.,yes,psychotherapy helps you in your interpersonal relationships and daily life.,1018
Unordered sleeping hours result in serious neurological conditions.,Consuming too much coffee at night unsettles the sleeping hours.,yes,Consuming too much coffee at night result in serious neurological conditions.,1019
Progressive muscle relaxation involves tensing and untensing different muscles in the body.,calming the body is an effective method to enhance sleep,yes,Progressive muscle relaxation involves tensing and untensing different muscles in the body to enhance sleep.,1022
Ice has potential to maintain the impact craters for a long time.,The surface of Callisto is covered with ice.,yes,The surface of Callisto has potential to maintain the impact craters for a long time.,1031
Depleting blood flow in a blood vessel can cause heart attack.,A large clot inside a blood vessel can block blood flow in the vessel.,yes,A large clot inside a blood vessel can cause heart attack.,1038
loss of mass could lead to crush fractures of the vertebrae,osteoporosis results in bones lose mass,yes,Osteoporosis could lead to crush fractures of the vertebrae,1044
Low levels of blood pressure decreases the risks of coronary heart diseases,Physical activity can help to lower the levels of blood pressure,yes,Physical activity decreases the risks of coronary heart diseases,1055
Garlic can be beneficial for your kidneys and blood pressure.,Allicin which has powerful antioxidant and anti-inflammatory properties.,yes,Garlic which has powerful antioxidant and anti-inflammatory properties can be beneficial for your kidneys and blood pressure.,1061
shellfish have high levels of zinc,high levels of zinc are essential for good-looking hair,yes,shellfish are essential for good-looking hair,1072
the prisoners have fled from the caves,the caves extend for some kilometes,yes,the prisoners have fled for some kilometers,1076
The Spanish flu killed almost 3% of the world’s total population.,"Severe hygienic conditions after the WW1, spread the Spanish flu across the Europe.",yes,Severe hygienic conditions after WW1 killed almost 3% of the world’s total population.,1078
Turning points are when the positive qualities outweight the danger.,Erik Erikson believed personality development takes place in a series of turning points.,yes,Erik Erikson believed personality development takes place when the positive qualities outweight the danger.,1080
"When two or more companies merge,there will be a growth in capital",A growth in the capital is usually associated with lower prices of goods,yes,"When two or more companies merge,there will be lower prices of goods",1084
"coal is used as fuel in power stations, and for heat and power applications in manufacturing, for blacksmithing; and to make coke",bituminous coal is a relatively soft coal that breaks and burns readily and quickly,yes,"a relatively soft coal that breaks and burns readily and quickly is used as fuel in power stations, and for heat and power applications in manufacturing, for blacksmithing; and to make coke",1087
Oysters are one of the best foods containing zinc,Zinc is a mineral that helps support the hair growth and repair cycle,yes,Oysters are one of the best foods that helps support the hair growth and repair cycle,1089
Weak memories might change the way you remember past memories,Trying to remember a memory weakens other related memories,yes,Trying to remember a memory might change the way you remember past memories,1092
Abortion changes the balance of hormones,Forced changes in the balance of hormones might lead to cancer,yes,Abortion might lead to cancer ,1094
Depressants slow down brain activity ,Alcohol is a kind of depressant ,yes,Alcohol slows down brain activity ,1098
Kerman is a city with rich culture,cities with rich culture are tourist destination cities,yes,Kerman is a tourist destination city,1110
"E. coli, Listeria, and Salmonella are the most harmful strains of bacteria.",The pasteurization process kills many of the most harmful strains of bacteria.,yes,"The pasteurization process kills many cause of foodborne illness, including E. coli, Listeria, and Salmonella.",1122
